X_id,operator_registration_number,postal_code,ward_number,ward_name
1710267,STR-2211-FYYVHR,M6N,9,Davenport
1710268,STR-2211-GHFVHS,M6P,9,Davenport
1710269,STR-2211-GQLVHT,M4Y,13,Toronto Centre
1710270,STR-2211-HFYVHW,M6K,10,Spadina-Fort York
1710271,STR-2211-HPFVHX,M4E,19,Beaches-East York
1710272,STR-2211-FSJHHQ,M8Z,3,Etobicoke-Lakeshore
1710273,STR-2211-GHWHHS,M5J,10,Spadina-Fort York
1710274,STR-2211-GRCHHT,M5C,13,Toronto Centre
1710275,STR-2211-HGQHHW,M4X,13,Toronto Centre
1710276,STR-2211-HPWHHX,M5J,10,Spadina-Fort York
1710277,STR-2211-HXCHHY,M6H,9,Davenport
1710278,STR-2211-JFJHHZ,M6K,10,Spadina-Fort York
1710279,STR-2211-FKSVHP,M5J,10,Spadina-Fort York
1710280,STR-2211-FSYVHQ,M6M,5,York South-Weston
1710281,STR-2211-GJLVHS,M6A,8,Eglinton-Lawrence
1710282,STR-2211-GRSVHT,M5V,10,Spadina-Fort York
1710283,STR-2211-GYYVHV,M1S,22,Scarborough-Agincourt
1710284,STR-2211-HHFVHW,M1W,22,Scarborough-Agincourt
1710285,STR-2211-HXSVHY,M5S,13,Toronto Centre
1710286,STR-2211-JFYVHZ,M4A,16,Don Valley East
1710287,STR-2211-FLJHHP,M2R,18,Willowdale
1710288,STR-2211-GKCHHS,M5V,10,Spadina-Fort York
1710289,STR-2211-HHWHHW,M6H,9,Davenport
1710290,STR-2211-JGQHHZ,M6N,9,Davenport
1710291,STR-2211-FDVBHP,M2M,18,Willowdale
1710292,STR-2211-FMBBHQ,M5P,12,Toronto-St. Paul's
1710293,STR-2211-FVHBHR,M6G,12,Toronto-St. Paul's
1710294,STR-2211-GTBBHV,M5J,10,Spadina-Fort York
1710295,STR-2211-HBHBHW,M5V,10,Spadina-Fort York
1710296,STR-2211-HJPBHX,M4P,12,Toronto-St. Paul's
1710297,STR-2211-HRVBHY,M6K,10,Spadina-Fort York
1710298,STR-2211-HZBBHZ,M4J,14,Toronto-Danforth
1710299,STR-2211-FVXPHR,M5V,10,Spadina-Fort York
1710300,STR-2211-GDDPHS,M4K,14,Toronto-Danforth
1710301,STR-2211-GLKPHT,M3C,16,Don Valley East
1710302,STR-2211-GTRPHV,M5V,10,Spadina-Fort York
1710303,STR-2211-HSKPHY,M3A,16,Don Valley East
1710304,STR-2211-HZRPHZ,M5J,10,Spadina-Fort York
1710305,STR-2212-FPHBHQ,M5J,10,Spadina-Fort York
1710306,STR-2212-FWPBHR,M2M,18,Willowdale
1710307,STR-2212-GDVBHS,M2J,17,Don Valley North
1710308,STR-2212-GVHBHV,M5V,10,Spadina-Fort York
1710309,STR-2212-HTBBHY,M5P,12,Toronto-St. Paul's
1710310,STR-2212-FGRPHP,M4C,19,Beaches-East York
1710311,STR-2212-GFKPHS,M5A,13,Toronto Centre
1710312,STR-2212-HDDPHW,M5E,10,Spadina-Fort York
1710313,STR-2212-HTRPHY,M4L,19,Beaches-East York
1710314,STR-2212-FQPBHQ,M1T,22,Scarborough-Agincourt
1710315,STR-2212-FXVBHR,M2J,17,Don Valley North
1710316,STR-2212-GGBBHS,M5V,10,Spadina-Fort York
1710317,STR-2212-GPHBHT,M5V,10,Spadina-Fort York
1710318,STR-2212-GWPBHV,M5C,13,Toronto Centre
1710319,STR-2212-HMBBHX,M1C,25,Scarborough-Rouge Park
1710320,STR-2212-HVHBHY,M4M,14,Toronto-Danforth
1710321,STR-2212-FHXPHP,M4Y,13,Toronto Centre
1710322,STR-2212-GPXPHT,M4C,19,Beaches-East York
1710323,STR-2212-HFKPHW,M2P,15,Don Valley West
1710324,STR-2212-HMRPHX,M2N,18,Willowdale
1710325,STR-2212-FZBBHR,M1L,20,Scarborough Southwest
1710326,STR-2212-GQPBHT,M4M,14,Toronto-Danforth
1710327,STR-2212-GXVBHV,M8V,3,Etobicoke-Lakeshore
1710328,STR-2212-HGBBHW,M4K,14,Toronto-Danforth
1710329,STR-2212-HPHBHX,M6E,9,Davenport
1710330,STR-2212-JDVBHZ,M2N,18,Willowdale
1710331,STR-2212-FSKPHQ,M9L,7,Humber River-Black Creek
1710332,STR-2212-FZRPHR,M2K,17,Don Valley North
1710333,STR-2212-GHXPHS,M5V,10,Spadina-Fort York
1710334,STR-2212-GRDPHT,M5V,10,Spadina-Fort York
1710335,STR-2212-HGRPHW,M5V,10,Spadina-Fort York
1710336,STR-2212-HXDPHY,M3L,7,Humber River-Black Creek
1710337,STR-2212-FKVBHP,M8Z,3,Etobicoke-Lakeshore
1710338,STR-2212-FTBBHQ,M1M,24,Scarborough-Guildwood
1710339,STR-2212-GBHBHR,M8Z,3,Etobicoke-Lakeshore
1710340,STR-2212-GZBBHV,M4L,14,Toronto-Danforth
1710341,STR-2212-HQPBHX,M2N,18,Willowdale
1710342,STR-2212-JGBBHZ,M5V,10,Spadina-Fort York
1710343,STR-2212-GKDPHS,M6P,4,Parkdale-High Park
1710344,STR-2212-HHXPHW,M5V,10,Spadina-Fort York
1710345,STR-2212-JGRPHZ,M6E,9,Davenport
1710346,STR-2212-FMCHHQ,M5J,10,Spadina-Fort York
1710347,STR-2212-FVJHHR,M6K,4,Parkdale-High Park
1710348,STR-2212-GKWHHT,M1J,21,Scarborough Centre
1710349,STR-2212-GTCHHV,M2N,18,Willowdale
1710350,STR-2212-HBJHHW,M2J,17,Don Valley North
1710351,STR-2212-HRWHHY,M4W,11,University-Rosedale
1710352,STR-2212-FFLVHP,M5V,10,Spadina-Fort York
1710353,STR-2212-FMSVHQ,M1G,24,Scarborough-Guildwood
1710354,STR-2212-GDFVHS,M5V,10,Spadina-Fort York
1710355,STR-2212-GLLVHT,M5V,10,Spadina-Fort York
1710356,STR-2212-HBYVHW,M5S,13,Toronto Centre
1710357,STR-2212-HSLVHY,M2N,18,Willowdale
1710358,STR-2212-GMCHHT,M2N,18,Willowdale
1710359,STR-2212-GVJHHV,M2R,18,Willowdale
1710360,STR-2212-HCQHHW,M6H,9,Davenport
1710361,STR-2212-FXFVHR,M5T,11,University-Rosedale
1710362,STR-2212-GVYVHV,M6P,9,Davenport
1710363,STR-2212-JBYVHZ,M4M,14,Toronto-Danforth
1710364,STR-2212-GGCHHS,M5V,10,Spadina-Fort York
1710365,STR-2212-GPJHHT,M4E,19,Beaches-East York
1710366,STR-2212-HMCHHX,M3H,6,York Centre
1710367,STR-2212-HVJHHY,M6K,10,Spadina-Fort York
1710368,STR-2212-JCQHHZ,M6K,9,Davenport
1710369,STR-2212-FYLVHR,M2H,17,Don Valley North
1710370,STR-2212-GGSVHS,M5A,13,Toronto Centre
1710371,STR-2212-GXFVHV,M3H,6,York Centre
1710372,STR-2212-HFLVHW,M4R,8,Eglinton-Lawrence
1710373,STR-2212-HMSVHX,M8V,3,Etobicoke-Lakeshore
1710374,STR-2212-FJQHHP,M5J,10,Spadina-Fort York
1710375,STR-2212-FZCHHR,M8W,3,Etobicoke-Lakeshore
1710376,STR-2212-GXWHHV,M6H,9,Davenport
1710377,STR-2212-HGCHHW,M5V,10,Spadina-Fort York
1710378,STR-2212-HPJHHX,M5V,10,Spadina-Fort York
1710379,STR-2212-HWQHHY,M5V,10,Spadina-Fort York
1710380,STR-2212-JDWHHZ,M5V,10,Spadina-Fort York
1710381,STR-2212-FKFVHP,M5G,11,University-Rosedale
1710382,STR-2212-FSLVHQ,M1K,20,Scarborough Southwest
1710383,STR-2212-GYLVHV,M6N,5,York South-Weston
1710384,STR-2212-HXFVHY,M3M,6,York Centre
1710385,STR-2212-JFLVHZ,M5V,10,Spadina-Fort York
1710386,STR-2212-FKWHHP,M6S,4,Parkdale-High Park
1710387,STR-2212-FTCHHQ,M5V,10,Spadina-Fort York
1710388,STR-2212-GJQHHS,M5V,10,Spadina-Fort York
1710389,STR-2212-GZCHHV,M6J,10,Spadina-Fort York
1710390,STR-2212-HHJHHW,M8V,3,Etobicoke-Lakeshore
1710391,STR-2212-HQQHHX,M2H,17,Don Valley North
1710392,STR-2212-JGCHHZ,M4Y,13,Toronto Centre
1710393,STR-2212-FLLVHP,M5V,10,Spadina-Fort York
1710394,STR-2212-FTSVHQ,M4B,19,Beaches-East York
1710395,STR-2212-GKFVHS,M1N,20,Scarborough Southwest
1710396,STR-2212-GZSVHV,M6A,8,Eglinton-Lawrence
1710397,STR-2212-HHYVHW,M1M,20,Scarborough Southwest
1710398,STR-2212-HRFVHX,M6E,8,Eglinton-Lawrence
1710399,STR-2212-JGSVHZ,M5R,11,University-Rosedale
1710400,STR-2212-FMDPHQ,M5V,10,Spadina-Fort York
1710401,STR-2212-FVKPHR,M5V,10,Spadina-Fort York
1710402,STR-2212-GCRPHS,M1T,22,Scarborough-Agincourt
1710403,STR-2212-GTDPHV,M5J,10,Spadina-Fort York
1710404,STR-2212-HBKPHW,M6H,9,Davenport
1710405,STR-2212-HJRPHX,M5V,10,Spadina-Fort York
1710406,STR-2212-HRXPHY,M5V,10,Spadina-Fort York
1710407,STR-2212-FMVBHQ,M8V,3,Etobicoke-Lakeshore
1710408,STR-2212-GLPBHT,M6N,5,York South-Weston
1710409,STR-2212-GTVBHV,M1H,24,Scarborough-Guildwood
1710410,STR-2212-HCBBHW,M5V,10,Spadina-Fort York
1710411,STR-2212-FPKPHQ,M5V,10,Spadina-Fort York
1710412,STR-2212-GMDPHT,M1B,23,Scarborough North
1710413,STR-2212-GVKPHV,M4J,14,Toronto-Danforth
1710414,STR-2212-HCRPHW,M2K,17,Don Valley North
1710415,STR-2212-HKXPHX,M4L,19,Beaches-East York
1710416,STR-2212-JBKPHZ,M6K,10,Spadina-Fort York
1710417,STR-2212-FGVBHP,M5B,11,University-Rosedale
1710418,STR-2212-FQBBHQ,M4C,19,Beaches-East York
1710419,STR-2212-FXHBHR,M2R,18,Willowdale
1710420,STR-2212-HTVBHY,M4Y,13,Toronto Centre
1710421,STR-2212-JCBBHZ,M6J,10,Spadina-Fort York
1710422,STR-2212-FQRPHQ,M9W,1,Etobicoke North
1710423,STR-2212-GPKPHT,M9P,2,Etobicoke Centre
1710424,STR-2212-GWRPHV,M2N,18,Willowdale
1710425,STR-2212-HDXPHW,M9B,2,Etobicoke Centre
1710426,STR-2212-HMDPHX,M5V,10,Spadina-Fort York
1710427,STR-2212-HVKPHY,M6S,4,Parkdale-High Park
1710428,STR-2212-JCRPHZ,M5B,13,Toronto Centre
1710429,STR-2212-FJBBHP,M4X,13,Toronto Centre
1710430,STR-2212-GQBBHT,M1E,24,Scarborough-Guildwood
1710431,STR-2212-HFPBHW,M2R,18,Willowdale
1710432,STR-2212-HMVBHX,M4S,12,Toronto-St. Paul's
1710433,STR-2212-HWBBHY,M3H,6,York Centre
1710434,STR-2212-FZDPHR,M4Y,13,Toronto Centre
1710435,STR-2212-GQRPHT,M1K,20,Scarborough Southwest
1710436,STR-2212-HGDPHW,M2M,18,Willowdale
1710437,STR-2212-HWRPHY,M1E,24,Scarborough-Guildwood
1710438,STR-2212-FKHBHP,M6N,5,York South-Weston
1710439,STR-2212-FZVBHR,M2K,17,Don Valley North
1710440,STR-2212-GJBBHS,M5V,10,Spadina-Fort York
1710441,STR-2212-GRHBHT,M5V,10,Spadina-Fort York
1710442,STR-2212-HGVBHW,M1M,20,Scarborough Southwest
1710443,STR-2212-HQBBHX,M6E,9,Davenport
1710444,STR-2212-HXHBHY,M9L,7,Humber River-Black Creek
1710445,STR-2212-FTDPHQ,M4K,14,Toronto-Danforth
1710446,STR-2212-HHKPHW,M4S,12,Toronto-St. Paul's
1710447,STR-2212-HQRPHX,M5S,13,Toronto Centre
1710448,STR-2212-HXXPHY,M2N,18,Willowdale
1710449,STR-2212-JGDPHZ,M1S,23,Scarborough North
1710450,STR-2212-FTVBHQ,M1W,22,Scarborough-Agincourt
1710451,STR-2212-GKHBHS,M5A,10,Spadina-Fort York
1710452,STR-2212-GZVBHV,M5V,10,Spadina-Fort York
1710453,STR-2212-GCSVHS,M4L,14,Toronto-Danforth
1710454,STR-2212-GKYVHT,M1B,23,Scarborough North
1710455,STR-2212-HJSVHX,M5V,10,Spadina-Fort York
1710456,STR-2212-FFQHHP,M4Y,13,Toronto Centre
1710457,STR-2212-FMWHHQ,M5B,13,Toronto Centre
1710458,STR-2212-FWCHHR,M5B,13,Toronto Centre
1710459,STR-2212-GLQHHT,M2N,18,Willowdale
1710460,STR-2212-GTWHHV,M5S,13,Toronto Centre
1710461,STR-2212-FWSVHR,M4M,14,Toronto-Danforth
1710462,STR-2212-GDYVHS,M6P,4,Parkdale-High Park
1710463,STR-2212-HCSVHW,M5J,10,Spadina-Fort York
1710464,STR-2212-HKYVHX,M4B,19,Beaches-East York
1710465,STR-2212-JBLVHZ,M6H,9,Davenport
1710466,STR-2212-FGWHHP,M1S,22,Scarborough-Agincourt
1710467,STR-2212-FXJHHR,M5J,10,Spadina-Fort York
1710468,STR-2212-GWCHHV,M9M,7,Humber River-Black Creek
1710469,STR-2212-FQSVHQ,M5A,13,Toronto Centre
1710470,STR-2212-FXYVHR,M3B,15,Don Valley West
1710471,STR-2212-GGFVHS,M6J,9,Davenport
1710472,STR-2212-FJCHHP,M9P,2,Etobicoke Centre
1710473,STR-2212-FRJHHQ,M5A,13,Toronto Centre
1710474,STR-2212-FYQHHR,M5V,10,Spadina-Fort York
1710475,STR-2212-GGWHHS,M6K,10,Spadina-Fort York
1710476,STR-2212-GQCHHT,M3J,6,York Centre
1710477,STR-2212-HFQHHW,M8X,2,Etobicoke Centre
1710478,STR-2212-HWCHHY,M2J,17,Don Valley North
1710479,STR-2212-FJSVHP,M4Y,13,Toronto Centre
1710480,STR-2212-FRYVHQ,M6M,5,York South-Weston
1710481,STR-2212-FZFVHR,M1K,20,Scarborough Southwest
1710482,STR-2212-GQSVHT,M4V,12,Toronto-St. Paul's
1710483,STR-2212-JDYVHZ,M6R,4,Parkdale-High Park
1710484,STR-2212-FKJHHP,M8V,3,Etobicoke-Lakeshore
1710485,STR-2212-GJCHHS,M5R,11,University-Rosedale
1710486,STR-2212-GRJHHT,M8Z,3,Etobicoke-Lakeshore
1710487,STR-2212-GYQHHV,M6S,4,Parkdale-High Park
1710488,STR-2212-HGWHHW,M3B,15,Don Valley West
1710489,STR-2212-FKYVHP,M2N,18,Willowdale
1710490,STR-2212-FTFVHQ,M5J,10,Spadina-Fort York
1710491,STR-2212-HHLVHW,M8Z,3,Etobicoke-Lakeshore
1710492,STR-2212-HXYVHY,M6P,4,Parkdale-High Park
1710493,STR-2212-JGFVHZ,M5S,11,University-Rosedale
1710494,STR-2212-FLQHHP,M1R,21,Scarborough Centre
1710495,STR-2212-FTWHHQ,M1T,22,Scarborough-Agincourt
1710496,STR-2212-GSQHHT,M2K,17,Don Valley North
1710497,STR-2212-GZWHHV,M6P,9,Davenport
1710498,STR-2212-HSBBHY,M1N,20,Scarborough Southwest
1710499,STR-2212-FMXPHQ,M5V,10,Spadina-Fort York
1710500,STR-2212-GLRPHT,M3A,16,Don Valley East
1710501,STR-2301-HCDPHW,M8W,3,Etobicoke-Lakeshore
1710502,STR-2301-HKKPHX,M8Y,3,Etobicoke-Lakeshore
1710503,STR-2301-HSRPHY,M4E,19,Beaches-East York
1710504,STR-2301-HZXPHZ,M6N,5,York South-Weston
1710505,STR-2301-FWVBHR,M2J,17,Don Valley North
1710506,STR-2301-GVPBHV,M5S,11,University-Rosedale
1710507,STR-2301-HLBBHX,M9B,2,Etobicoke Centre
1710508,STR-2301-HTHBHY,M5V,10,Spadina-Fort York
1710509,STR-2301-FXKPHR,M1E,25,Scarborough-Rouge Park
1710510,STR-2301-GWDPHV,M5V,10,Spadina-Fort York
1710511,STR-2301-HDKPHW,M6N,5,York South-Weston
1710512,STR-2301-HTXPHY,M5V,10,Spadina-Fort York
1710513,STR-2301-JCDPHZ,M4L,19,Beaches-East York
1710514,STR-2301-GGHBHS,M6H,9,Davenport
1710515,STR-2301-GWVBHV,M5J,10,Spadina-Fort York
1710516,STR-2301-HFBBHW,M5V,10,Spadina-Fort York
1710517,STR-2301-FJDPHP,M6G,11,University-Rosedale
1710518,STR-2301-GGXPHS,M4M,14,Toronto-Danforth
1710519,STR-2301-HFRPHW,M5J,10,Spadina-Fort York
1710520,STR-2301-FJVBHP,M9B,3,Etobicoke-Lakeshore
1710521,STR-2301-GHPBHS,M6E,12,Toronto-St. Paul's
1710522,STR-2301-JFBBHZ,M5V,10,Spadina-Fort York
1710523,STR-2301-FZXPHR,M6S,4,Parkdale-High Park
1710524,STR-2301-GJDPHS,M1B,25,Scarborough-Rouge Park
1710525,STR-2301-HGXPHW,M6J,9,Davenport
1710526,STR-2301-JFRPHZ,M6K,9,Davenport
1710527,STR-2301-FLBBHP,M5J,10,Spadina-Fort York
1710528,STR-2301-JGHBHZ,M4C,19,Beaches-East York
1710529,STR-2301-FLRPHP,M6R,4,Parkdale-High Park
1710530,STR-2301-GCDPHR,M1J,21,Scarborough Centre
1710531,STR-2301-GKKPHS,M5V,10,Spadina-Fort York
1710532,STR-2301-GSRPHT,M6K,10,Spadina-Fort York
1710533,STR-2301-GZXPHV,M9C,2,Etobicoke Centre
1710534,STR-2301-HYRPHY,M5V,10,Spadina-Fort York
1710535,STR-2301-FFCHHP,M6S,4,Parkdale-High Park
1710536,STR-2301-FVQHHR,M3N,7,Humber River-Black Creek
1710537,STR-2301-GTJHHV,M6K,10,Spadina-Fort York
1710538,STR-2301-FMYVHQ,M9R,1,Etobicoke North
1710539,STR-2301-GDLVHS,M1N,20,Scarborough Southwest
1710540,STR-2301-GTYVHV,M6K,9,Davenport
1710541,STR-2301-HSSVHY,M9C,2,Etobicoke Centre
1710542,STR-2301-FGJHHP,M6B,8,Eglinton-Lawrence
1710543,STR-2301-GFCHHS,M5A,13,Toronto Centre
1710544,STR-2301-GMJHHT,M2J,17,Don Valley North
1710545,STR-2301-GVQHHV,M6K,10,Spadina-Fort York
1710546,STR-2301-HLCHHX,M6P,4,Parkdale-High Park
1710547,STR-2301-JBQHHZ,M4V,12,Toronto-St. Paul's
1710548,STR-2301-GFSVHS,M5V,10,Spadina-Fort York
1710549,STR-2301-GWFVHV,M4W,11,University-Rosedale
1710550,STR-2301-HLSVHX,M9C,2,Etobicoke Centre
1710551,STR-2301-HTYVHY,M5V,10,Spadina-Fort York
1710552,STR-2301-JCFVHZ,M5V,10,Spadina-Fort York
1710553,STR-2301-FHQHHP,M6M,5,York South-Weston
1710554,STR-2301-FQWHHQ,M6E,9,Davenport
1710555,STR-2301-GPQHHT,M2M,18,Willowdale
1710556,STR-2301-HMJHHX,M5S,13,Toronto Centre
1710557,STR-2301-JCWHHZ,M5V,10,Spadina-Fort York
1710558,STR-2301-FJFVHP,M4P,12,Toronto-St. Paul's
1710559,STR-2301-FYSVHR,M1C,25,Scarborough-Rouge Park
1710560,STR-2301-GGYVHS,M8Y,3,Etobicoke-Lakeshore
1710561,STR-2301-FJWHHP,M5V,10,Spadina-Fort York
1710562,STR-2301-GHQHHS,M4K,14,Toronto-Danforth
1710563,STR-2301-JFCHHZ,M6G,11,University-Rosedale
1710564,STR-2301-GYSVHV,M6K,9,Davenport
1710565,STR-2301-HGYVHW,M2N,18,Willowdale
1710566,STR-2301-HQFVHX,M8V,3,Etobicoke-Lakeshore
1710567,STR-2301-JFSVHZ,M6P,9,Davenport
1710568,STR-2301-GBQHHR,M5V,10,Spadina-Fort York
1710569,STR-2301-GSCHHT,M1E,25,Scarborough-Rouge Park
1710570,STR-2301-GZJHHV,M6A,8,Eglinton-Lawrence
1710571,STR-2301-HQWHHX,M4K,14,Toronto-Danforth
1710572,STR-2301-HYCHHY,M1B,25,Scarborough-Rouge Park
1710573,STR-2301-JGJHHZ,M1K,21,Scarborough Centre
1710574,STR-2301-FLSVHP,M4P,15,Don Valley West
1710575,STR-2301-FTYVHQ,M5M,8,Eglinton-Lawrence
1710576,STR-2301-GCFVHR,M6G,11,University-Rosedale
1710577,STR-2301-GSSVHT,M4Y,13,Toronto Centre
1710578,STR-2301-HJFVHW,M3J,7,Humber River-Black Creek
1710579,STR-2301-HYSVHY,M5B,13,Toronto Centre
1710580,STR-2301-FDPDVP,M5V,10,Spadina-Fort York
1710581,STR-2301-GCHDVS,M6N,5,York South-Weston
1710582,STR-2301-GKPDVT,M6E,9,Davenport
1710583,STR-2301-HYVDVZ,M5V,10,Spadina-Fort York
1710584,STR-2301-FFDRVP,M5B,13,Toronto Centre
1710585,STR-2301-GCXRVS,M5M,8,Eglinton-Lawrence
1710586,STR-2301-GTKRVV,M6C,12,Toronto-St. Paul's
1710587,STR-2301-HBRRVW,M6G,12,Toronto-St. Paul's
1710588,STR-2301-HSDRVY,M1C,25,Scarborough-Rouge Park
1710589,STR-2301-FPBDVQ,M6K,10,Spadina-Fort York
1710590,STR-2301-GDPDVS,M5A,13,Toronto Centre
1710591,STR-2301-GVBDVV,M1T,22,Scarborough-Agincourt
1710592,STR-2301-HCHDVW,M1T,22,Scarborough-Agincourt
1710593,STR-2301-HSVDVY,M5M,8,Eglinton-Lawrence
1710594,STR-2301-JBBDVZ,M2H,17,Don Valley North
1710595,STR-2301-FGKRVP,M4C,19,Beaches-East York
1710596,STR-2301-GMKRVT,M5J,10,Spadina-Fort York
1710597,STR-2301-HCXRVW,M3H,6,York Centre
1710598,STR-2301-HLDRVX,M3H,6,York Centre
1710599,STR-2301-HTKRVY,M1J,21,Scarborough Centre
1710600,STR-2301-JBRRVZ,M2R,18,Willowdale
1710601,STR-2301-FHBDVP,M6P,4,Parkdale-High Park
1710602,STR-2301-FQHDVQ,M9N,5,York South-Weston
1710603,STR-2301-GFVDVS,M4V,12,Toronto-St. Paul's
1710604,STR-2301-GPBDVT,M2N,18,Willowdale
1710605,STR-2301-GWHDVV,M8Z,3,Etobicoke-Lakeshore
1710606,STR-2301-HLVDVX,M3J,6,York Centre
1710607,STR-2301-HVBDVY,M6A,8,Eglinton-Lawrence
1710608,STR-2301-FHRRVP,M4P,15,Don Valley West
1710609,STR-2301-FYDRVR,M6S,4,Parkdale-High Park
1710610,STR-2301-GWXRVV,M5V,10,Spadina-Fort York
1710611,STR-2301-HVRRVY,M4Y,13,Toronto Centre
1710612,STR-2301-FJHDVP,M3H,6,York Centre
1710613,STR-2301-GHBDVS,M5J,10,Spadina-Fort York
1710614,STR-2301-GQHDVT,M1C,25,Scarborough-Rouge Park
1710615,STR-2301-HWHDVY,M6M,5,York South-Weston
1710616,STR-2301-JDPDVZ,M2M,18,Willowdale
1710617,STR-2301-GYDRVV,M9B,3,Etobicoke-Lakeshore
1710618,STR-2301-HGKRVW,M6G,11,University-Rosedale
1710619,STR-2301-HPRRVX,M9W,1,Etobicoke North
1710620,STR-2301-GSWKVV,M1C,25,Scarborough-Rouge Park
1710621,STR-2301-HWXRVY,M5A,13,Toronto Centre
1710622,STR-2301-GYVDVV,M5V,10,Spadina-Fort York
1710623,STR-2301-HHBDVW,M8V,3,Etobicoke-Lakeshore
1710624,STR-2301-HQHDVX,M8V,3,Etobicoke-Lakeshore
1710625,STR-2301-HXPDVY,M5V,10,Spadina-Fort York
1710626,STR-2301-FTKRVQ,M4M,14,Toronto-Danforth
1710627,STR-2301-GBRRVR,M5V,10,Spadina-Fort York
1710628,STR-2301-GJXRVS,M4C,19,Beaches-East York
1710629,STR-2301-GSDRVT,M5V,10,Spadina-Fort York
1710630,STR-2301-HYDRVY,M2N,18,Willowdale
1710631,STR-2301-JGKRVZ,M1N,20,Scarborough Southwest
1710632,STR-2301-FLWKVQ,M5V,10,Spadina-Fort York
1710633,STR-2301-HRQKVY,M5B,11,University-Rosedale
1710634,STR-2301-FVSXVR,M6C,9,Davenport
1710635,STR-2301-GCYXVS,M3A,16,Don Valley East
1710636,STR-2301-HBSXVW,M5V,10,Spadina-Fort York
1710637,STR-2301-HJYXVX,M5V,10,Spadina-Fort York
1710638,STR-2301-FPCKVQ,M5V,10,Spadina-Fort York
1710639,STR-2301-FWYXVR,M5V,10,Spadina-Fort York
1710640,STR-2301-HTLXVY,M6J,9,Davenport
1710641,STR-2301-JBSXVZ,M9A,2,Etobicoke Centre
1710642,STR-2301-FXQKVR,M8X,3,Etobicoke-Lakeshore
1710643,STR-2301-GFWKVS,M4Y,13,Toronto Centre
1710644,STR-2301-GWJKVV,M4M,14,Toronto-Danforth
1710645,STR-2301-HDQKVW,M6G,11,University-Rosedale
1710646,STR-2301-HLWKVX,M5J,10,Spadina-Fort York
1710647,STR-2301-FHSXVP,M9C,2,Etobicoke Centre
1710648,STR-2301-FYFXVR,M5S,13,Toronto Centre
1710649,STR-2301-GGLXVS,M6J,10,Spadina-Fort York
1710650,STR-2301-GPSXVT,M4E,19,Beaches-East York
1710651,STR-2301-HFFXVW,M4C,19,Beaches-East York
1710652,STR-2301-HMLXVX,M5V,10,Spadina-Fort York
1710653,STR-2301-JCYXVZ,M4T,12,Toronto-St. Paul's
1710654,STR-2301-FYWKVR,M4Y,13,Toronto Centre
1710655,STR-2301-GXQKVV,M6J,10,Spadina-Fort York
1710656,STR-2301-HFWKVW,M1V,23,Scarborough North
1710657,STR-2301-HPCKVX,M2K,17,Don Valley North
1710658,STR-2301-HWJKVY,M3H,6,York Centre
1710659,STR-2301-JDQKVZ,M5V,10,Spadina-Fort York
1710660,STR-2301-GHSXVS,M4X,13,Toronto Centre
1710661,STR-2301-GQYXVT,M2R,18,Willowdale
1710662,STR-2301-GYFXVV,M5J,10,Spadina-Fort York
1710663,STR-2301-HGLXVW,M5V,10,Spadina-Fort York
1710664,STR-2301-HWYXVY,M6S,4,Parkdale-High Park
1710665,STR-2301-FKQKVP,M6S,4,Parkdale-High Park
1710666,STR-2301-GJJKVS,M4K,14,Toronto-Danforth
1710667,STR-2301-GRQKVT,M5E,10,Spadina-Fort York
1710668,STR-2301-FLFXVP,M5J,10,Spadina-Fort York
1710669,STR-2301-GJYXVS,M5V,10,Spadina-Fort York
1710670,STR-2301-GSFXVT,M5J,10,Spadina-Fort York
1710671,STR-2301-HHSXVW,M4C,19,Beaches-East York
1710672,STR-2301-HQYXVX,M9R,2,Etobicoke Centre
1710673,STR-2301-HYFXVY,M8V,3,Etobicoke-Lakeshore
1710674,STR-2301-JGLXVZ,M2N,18,Willowdale
1710675,STR-2301-GCKRVS,M6J,11,University-Rosedale
1710676,STR-2301-GKRRVT,M5V,10,Spadina-Fort York
1710677,STR-2301-GSXRVV,M5V,10,Spadina-Fort York
1710678,STR-2301-HRRRVY,M3K,6,York Centre
1710679,STR-2301-HYXRVZ,M6G,12,Toronto-St. Paul's
1710680,STR-2301-FFHDVP,M6S,4,Parkdale-High Park
1710681,STR-2301-GLHDVT,M4M,14,Toronto-Danforth
1710682,STR-2301-GTPDVV,M5V,10,Spadina-Fort York
1710683,STR-2301-HSHDVY,M4Y,11,University-Rosedale
1710684,STR-2301-FPDRVQ,M3A,16,Don Valley East
1710685,STR-2301-GLXRVT,M1N,20,Scarborough Southwest
1710686,STR-2301-HCKRVW,M6K,10,Spadina-Fort York
1710687,STR-2301-HKRRVX,M3C,16,Don Valley East
1710688,STR-2301-FPVDVQ,M5V,10,Spadina-Fort York
1710689,STR-2301-GVVDVV,M1S,22,Scarborough-Agincourt
1710690,STR-2301-HLHDVX,M5T,11,University-Rosedale
1710691,STR-2301-FHDRVP,M5N,8,Eglinton-Lawrence
1710692,STR-2301-FQKRVQ,M2M,18,Willowdale
1710693,STR-2301-GPDRVT,M5V,10,Spadina-Fort York
1710694,STR-2210-JDFRVM,M6H,9,Davenport
1710695,STR-2210-FJQDVB,M6J,9,Davenport
1710696,STR-2210-FRWDVC,M6M,5,York South-Weston
1710697,STR-2210-GHJDVF,M1J,21,Scarborough Centre
